owner,repo,downstream_cnt
,EduKgsSmartHealthCareNER,0
HVision-NKU,StoryDiffusion,0
neggles,animatediff-cli,0
YangLing0818,RPG-DiffusionMaster,0
AI-Hypercomputer,maxdiffusion,0
ziyangwang007,Mamba-UNet,0
FAIR-Chem,fairchem,0
openpsi-project,ReaLHF,0
NVIDIA-AI-IOT,torch2trt,0
alfredgu001324,MapUncertaintyPrediction,0
PacktPublishing,Modern-Computer-Vision-with-PyTorch-2E,0
foundation-model-stack,fms-fsdp,0
TonyLianLong,LLM-groundedVideoDiffusion,0
Texera,texera,0
facebookresearch,generative-recommenders,0
SamsungLabs,FineControlNet,0
SqueezeAILab,KVQuant,0
jianchang512,pyvideotrans,0
jy-yuan,KIVI,0
,openaisparseautoencoder,0
MK2112,nn-zero-to-hero-notes,0
MahmoudAshraf97,ctc-forced-aligner,0
fslongjin,TextRecogn,0
YUCHEN005,RobustGER,0
SNU-ARC,any-precision-llm,0
LukeDitria,CNN-VAE,0
,LukeDitriapytorchtutorials,0
NVlabs,BEV-Planner,0
lss-1138,SparseTSF,0
lalanikarim,webrtc-ai-voice-chat,0
tencent-ailab,V-Express,0
,jdrbcpodlypurepodcasts,0
X-LANCE,SLAM-LLM,0
OpenDriveLab,Vista,0
tianyang-x,SaySelf,0
DAMO-NLP-SG,VideoLLaMA2,0
TonyLianLong,CrossMAE,0
AaronZ345,GTSinger,0
camlab-ethz,poseidon,0
tiankuan93,ComfyUI-V-Express,0
Stable-X,StableNormal,0
jishengpeng,ControlSpeech,0
BytedanceSpeech,seed-tts-eval,0
UMass-Embodied-AGI,3D-VLA,0
mezbaul-h,june,0
lenML,Speech-AI-Forge,0
revalo,tree-diffusion,0
X-PLUG,MobileAgent,0
,gokayfemComfyUIVLMnodes,0
MS-Diffusion,MS-Diffusion,0
BlackPearl-Lab,KddCup-2024-OAG-Challenge-1st-Solutions,0
ictnlp,StreamSpeech,0
InternLM,InternLM-Math,0
feizc,Dimba,0
COLA-Laboratory,TransOPT,0
scott-yjyang,Vivim,0
,huchenleiComfyUIomost,0
zju-vipa,Odyssey,0
VedankPurohit,LiveRecall,0
bentoml,BentoDiffusion,0
twke18,SPML,0
HKoon,ChatTTS-OpenVoice,0
HKUDS,XRec,0
THUDM,GLM-4,0
LiuHaiChuan0,2021-Deep-learning,0
brucepro,Memoir,0
liguopeng0923,UCVGL,0
alisawuffles,proxy-tuning,0
arj7192,MasteringPyTorchV2,0
IDEA-Research,MotionLLM,0
MyNiuuu,MOFA-Video,0
histmeisah,Large-Language-Models-play-StarCraftII,0
TransformerOptimus,AutoNode,0
epistoteles,TensorHue,0
zju3dv,IntrinsicAnything,0
XPixelGroup,DepictQA,0
FareedKhan-dev,AI-text-to-video-model-from-scratch,0
OpenDriveLab,MPI,0
,wxywbhistoryrag,0
NVIDIA,VideoProcessingFramework,0
aqlaboratory,genie2,0
lllyasviel,Omost,0
TMElyralab,Comfyui-MusePose,0
YangXuanyi,Multi-Agent-GPT,0
EmbeddedLLM,JamAIBase,0
yukara-ikemiya,friendly-stable-audio-tools,0
microsoft,BiomedParse,0
FutureUniant,Tailor,0
smartyfh,LLM-Uncertainty-Bench,0
AIGODLIKE,ComfyUI-ToonCrafter,0
Picsart-AI-Research,HD-Painter,0
Text-to-Audio,AudioLCM,0
aminebdj,OpenYOLO3D,0
0ssamaak0,CLIPPyX,0
MzeroMiko,VMamba,0
JetXu-LLM,llama-github,0
sangyun884,rfpp,0
Zefan-Cai,KVCache-Factory,0
fumiama,Retrieval-based-Voice-Conversion-WebUI,0
CUHK-AIM-Group,U-KAN,0
,6drf21eChatTTScolab,0
Mxoder,LLM-from-scratch,0
RobvanGastel,dinov2-finetune,0
neonwatty,meme-search,0
Kedreamix,Linly-Talker,0
LazyAGI,LazyLLM,0
jjihwan,SV3D-fine-tune,0
HZAI-ZJNU,Mamba-YOLO,0
haoheliu,SemantiCodec-inference,0
adithya-s-k,omniparse,0
LiveBench,LiveBench,0
BrightPool,prompt-engineering-for-generative-ai-examples,0
Master-PLC,FreDF,0
Sumandora,remove-refusals-with-transformers,0
wdragondragon,apex-yolov5,0
tintn,vision-transformer-from-scratch,0
mazurowski-lab,finetune-SAM,0
Zeyi-Lin,LLM-Finetune,0
SqueezeAILab,TinyAgent,0
agent-husky,Husky-v1,0
donahowe,AutoStudio,0
ShareGPT4Omni,ShareGPT4Video,0
filipbasara0,simple-diffusion,0
PacktPublishing,LLM-Engineers-Handbook,0
jiahao-shao1,ChronoDepth,0
spcl,MRAG,0
mbzuai-metaverse,VOODOO3D-official,0
MrSecant,GaussianGrasper,0
ali-vilab,MimicBrush,0
Ucas-HaoranWei,Vary-toy,0
,jnnantrumansutils,0
opendilab,GenerativeRL,0
gomate-community,TrustRAG,0
SmartFlowAI,EmoLLM,0
saidwivedi,TokenHMR,0
abgulati,LARS,0
bracesproul,gen-ui-python,0
ironjr,grokfast,0
QmiAI,Qmedia,0
web-arena-x,visualwebarena,0
hkust-zhiyao,RTL-Coder,0
ZhenglinZhou,STAR,0
OpenGVLab,VisionLLM,0
Tencent,HunyuanDiT,0
TingtingLiao,CAR,0
SamurAIGPT,Text-To-Video-AI,0
NVlabs,RVT,0
ogkalu2,comic-translate,0
liuff19,Physics3D,0
ShareGPT4Omni,ShareGPT4V,0
NVIDIA,TransformerEngine,0
cure-lab,MagicDrive,0
ge-xing,SegMamba,0
bytedance,flux,0
WooooDyy,AgentGym,0
DachunKai,EvTexture,0
fufankeji,fufan-chat-api,0
AaronZ345,StyleSinger,0
Stability-AI,sd3-ref,0
alibaba-yuanjing-aigclab,ViViD,0
Camb-ai,MARS5-TTS,0
moon-hotel,DeepLearningWithMe,0
YangLing0818,buffer-of-thought-llm,0
microsoft,LongRoPE,0
google-research,nerf-from-image,0
AiuniAI,Unique3D,0
Qihoo360,360zhinao,0
,IAAR-ShanghaiCRUDRAG,0
RUC-NLPIR,FlashRAG,0
AARG-FAN,Image-Vector-for-ComfyUI,0
princeton-vl,SEA-RAFT,0
fuzz4all,fuzz4all,0
THU-MIG,yolov10,0
,large-ocr-model,0
FaceAdapter,Face-Adapter,0
wyysf-98,CraftsMan3D,0
GreenBitAI,bitorch-engine,0
apple,ml-recurrent-drafter,0
TideDra,VL-RLHF,0
thu-coai,CharacterGLM-6B,0
,jjihwanFIFO-Diffusionpublic,0
wty-yy,KataCR,0
mistralai,mistral-finetune,0
IAAR-Shanghai,xFinder,0
thu-ml,MMTrustEval,0
Jeff-LiangF,streamv2v,0
banodoco,Steerable-Motion,0
bigsk1,voice-chat-ai,0
bdaiinstitute,theia,0
KimMeen,Time-LLM,0
brain-score,vision,0
DepthAnything,Depth-Anything-V2,0
Logistic98,rag-omni,0
mst272,LLM-Dojo,0
lilab-stanford,MUSK,0
,sujanshressthaYOLOv10DeepSORT,0
